wkb_geometry;id;descr;fumetto;link
"POINT (663012.056936533 5108011.82030186)";14;Murale Gardolo-Canova. Abbellimento del sottopasso di via Soprasasso;Murale Gardolo-Canova. Abbellimento del sottopasso di via Soprasasso;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Murale-Gardolo-Canova
"POINT (664117.361069756 5102719.74619959)";12;Una poesia di strada;Una poesia di strada;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-per-la-proposta-Una-poesia-di-strada
"POINT (664034.004390924 5103921.51678739)";5;"Beni comuni: volontariato, cittadinanza  e amministrazioni pubbliche";"Beni comuni: volontariato, cittadinanza  e amministrazioni pubbliche";http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-per-un-percorso-di-formazione-sui-beni-comuni
"POINT (664899.789488968 5097084.89966748)";15;Cippo a ricordo del gemellaggio Mattarello-Ergolding;Cippo a ricordo del gemellaggio Mattarello-Ergolding;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-per-la-sistemazione-del-Cippo-a-ricordo-del-gemellaggio-Mattarello-Ergolding
"POINT (664485.497618761 5102764.4521415)";1;Piccole piante crescono;Piccole piante crescono;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-per-la-proposta-Piccole-piante-crescono
"POINT (664281.708521549 5102431.75030315)";2;Immagin-abili;Immagin-abili;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-per-la-proposta-IMMAGIN-ABILI
"POINT (663412.852144202 5102751.04098985)";3;A-zonzo:conoscere una citta senza muovere un passo;A-zonzo:conoscere una citta senza muovere un passo;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-per-la-proposta-AZONZO-Conoscere-una-citta-senza-muovere-un-passo
"POINT (662245.087221565 5103260.08373815)";4;Un bene comune a Sardagna;Un bene comune a Sardagna;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-per-la-proposta-Adotta-un-aiuola.-Un-bene-Comune-a-Sardagna
"POINT (665125.275201267 5100675.15046167)";6;Le tue idee colorano Madonna Bianca;Le tue idee colorano Madonna Bianca;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-per-la-proposta-Le-tue-idee-colorano-Madonna-Bianca
"POINT (665062.833684633 5100732.45994967)";7;Fare storie...in biblioteca;Fare storie...in biblioteca;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-per-la-proposta-Fare-storie-in-biblioteca
"POINT (663980.066735681 5102330.32404799)";8;Riqualificazione parco San Pio X;Riqualificazione parco San Pio X;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-per-la-proposta-Riqualificazione-del-parco-di-San-Pio-X
