wkb_geometry;descrizione;tipologia;tratto isolato ciclabile;tratto isolato ciclopedonale;anno;gestione;itinerario;Tipo CdS;Ordinanza;Monodirezionale;intervento 2026;Esist_prog
"LINESTRING (663627.004623815 5105254.19236059,663626.859571818 5105263.91084443,663603.216096202 5105299.73868785,663596.978860304 5105301.47931182)";Pista ciclabile - via E. Maccani: tratto tra civ 36/5 e 36/1;Ciclabile;;;;;"5";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (664378.402874147 5100465.76399137,664378.199698513 5100474.04171567,664380.202505541 5100476.92380384,664387.187905664 5100480.39207942,664378.295776734 5100533.43131677,664357.167390035 5100635.19393992,664346.360739788 5100690.23165544,664340.507137572 5100721.85496209,664336.142913434 5100740.00459263,664319.240204074 5100821.74720346,664304.138603089 5100897.04738819,664294.093960232 5100913.32663696,664284.36104767 5100932.82709878,664271.095191758 5100971.27383524,664249.86289496 5101022.32833031,664235.731121561 5101056.27229583,664227.556860478 5101071.65099041,664220.594883876 5101086.8911382,664201.856429443 5101119.10326874,664186.062094468 5101145.77352736,664166.319175748 5101178.2627515,664148.062171991 5101210.19873383,664143.821829384 5101218.4317439,664121.175895347 5101249.57945063,664082.475489555 5101319.18194201,664028.707782933 5101417.64912059,664003.65599858 5101456.27656121,663991.706407975 5101476.01209346,663985.4422123 5101488.64676374,663994.433409679 5101493.2839974,663982.59902153 5101523.91911565,663977.395248018 5101544.65027787,663973.870111123 5101568.402986,663974.289770277 5101596.60408116,663976.304134217 5101621.02824393,663981.423975899 5101643.01838361,663979.298418606 5101644.39245323)";Pista ciclabile - via Fersina: dall'area camper al parcheggio Ghiaie sud;Ciclabile;;;;;"7";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (664398.346596061 5100412.29159336,664402.379929708 5100407.21634946,664405.276244973 5100389.93439152,664409.511876686 5100378.24892098,664416.399578906 5100366.08553196,664440.018047153 5100329.13129984,664493.662463604 5100244.95810717)";Percorso ciclopedonale lungo via Ragazzi del '99: tratto fino al Marinaio;Ciclopedonale;;;2018;;"0";2.1 PRO PED;;;;E
"LINESTRING (664378.199698513 5100474.04171567,664378.423962455 5100464.90481746,664380.160768529 5100462.49457179,664384.749361728 5100461.73902558,664387.355480547 5100460.37535875,664389.416132637 5100457.2237732,664398.346596061 5100412.29159336,664401.598222932 5100394.43449189,664406.234690134 5100379.46446053,664400.719065343 5100339.09648603,664402.355505232 5100328.25201871,664406.231112494 5100314.41809928,664405.8799471 5100275.65943295,664408.209633086 5100252.94173882,664405.555111582 5100158.59960873)";Percorso ciclopedonale dal ponte per lo svincolo dell'autostrada a Trento sud fino alla zona sportiva ghiaie;Ciclopedonale;;;;PAT;"1";2.1 PRO PED;;;;E
"LINESTRING (663141.714936748 5106037.2111783,663345.930698734 5105708.80855203,663355.773748972 5105704.51721402,663365.699686546 5105708.56345608,663370.820711663 5105700.97675221,663364.498458432 5105696.93051014,663361.274109284 5105687.82646548,663399.203969867 5105622.12086876,663406.094609591 5105611.40105247,663418.530026271 5105602.1406358,663429.113359615 5105597.77501079,663439.828984626 5105595.72448996,663450.147734636 5105595.19532329,663464.732890901 5105591.09428162,663472.822349264 5105588.42974727,663482.950411057 5105585.77585062,663489.604119049 5105583.91368273,663493.520522985 5105576.29845285,663496.19983542 5105571.3914906,663501.958916704 5105566.71345482,663508.237054829 5105561.83953464)";Percorso ciclopedonale tra l'incrocio con via Caduti di Nassiriya (cavalcavia ferrovia) e l'intersezione con via Detassis;Ciclopedonale;;;2017;;"5";2.1 PRO PED;;;MANUTENZIONE;E
"LINESTRING (665206.0 5103457.5,665082.438271395 5103330.05833396)";Strada E-bis in viale Bolognini: tratto compreso tra il ponte delle Dame di Sion e il ponte Borzaga;Strada ciclabile urbana;;;2023;;"7";3.2 SUC E-bis;1567/2023;;MANUTENZIONE;E
"LINESTRING (664701.340584027 5102939.51495913,664605.491867334 5102839.89261294)";Strada E-bis in viale Bolognini: tratto compreso tra il civ. 14 di viale Bolognini e via Bolghera;Strada ciclabile urbana;;;2023;;"7";3.2 SUC E-bis;1567/2023;;MANUTENZIONE;E
"LINESTRING (664940.576675593 5103185.4493976,664778.012251514 5103018.40664039)";Corsia ciclabile monodirezionale E-O lato nord viale Bolognini: tratto compreso tra piazza Vicenza e via Adamello;Corsia ciclabile;;;2023;;"7";3.4 CC 12-bis;1567/2023;Mono;MANUTENZIONE;E
"LINESTRING (665082.438271395 5103330.05833396,664950.0420466 5103193.50476146)";Strada E-bis in viale Bolognini: tratto compreso tra il ponte delle Dame di Sion e il ponte Borzaga;Strada ciclabile urbana;;;2023;;"7";3.2 SUC E-bis;1567/2023;Mono;MANUTENZIONE;E
"LINESTRING (664755.424682495 5103037.4416669,664918.310572799 5103207.21659039)";"Pista ciclabile monodirezionale in viale Rovereto, direzione ovest – est dal ponte dei Mille al ponte Borzaga";"Ciclabile su corsia riservata, ricavata dalla carreggiata stradale, ad unico senso di marcia";;;2020;;"7";1.2 PCCR carr;842/2020;Mono;MANUTENZIONE;E
