wkb_geometry;telefono;civico;cap;nome_up;via;localita;destra;fumetto
"POINT (664157.934735689 5104207.22936606)";"0461-274010";43;38122;TRENTO 2;1280;TRENTO;VIA A. GAZZOLETTI;"Ufficio postale TRENTO 2 - VIA GAZZOLETTI, 43"
"POINT (666584.953676606 5103623.71736266)";"0461-810764";4;38123;POVO;7380;POVO;PIAZZA G. MANCI-POVO;"Ufficio postale POVO - PIAZZA MANCI, 4"
"POINT (663828.359545538 5102552.82742157)";"0461-921549";8;38122;TRENTO 9;2020;TRENTO;VIA DEI MUREDEI;"Ufficio postale TRENTO 9 - VIA MUREDEI, 8"
"POINT (663698.784463012 5106816.64702814)";"0461-431949";5;38121;TRENTO 1;3506;TRENTO;VIA G.B. TRENER-GARDOLO;"Ufficio postale TRENTO 1 - VIA G.B. TRENER, 5"
"POINT (665963.448288617 5101569.25951478)";"0461-920290";24;38123;VILLAZZANO;7240;VILLAZZANO;VIA DELLA VILLA-VILLAZZANO;"Ufficio postale VILLAZZANO - VIA VILLA, 24"
"POINT (664943.273863031 5100597.03512354)";"0461-920236";19;38123;TRENTO 12;1760;TRENTO;"VIA A. MARIGHETTO ""ORA""";"Ufficio postale TRENTO 12 - VIA MARIGHETTO, 19"
"POINT (664558.236557062 5102771.96417159)";"0461-380949";1;38122;TRENTO 3;3450;TRENTO;V.LE VERONA;"Ufficio postale TRENTO 3 - VIALE VERONA, 1"
"POINT (663383.551180505 5103695.24216595)";"0461-237937";14;38122;MOTORIZZAZIONE;2850;TRENTO;LUNGADIGE SAN NICOLO';"Ufficio postale MOTORIZZAZIONE - VIA LUNGO ADIGE S.NICOLO', 14"
"POINT (665807.531467252 5104692.33688205)";"0461-984443";4;38121;COGNOLA;6400;COGNOLA;VIA ALLA VEDUTA-COGNOLA;"Ufficio postale COGNOLA - VIA ALLA VEDUTA, 4"
"POINT (663200.685324088 5100609.0199541)";"0461-923323";5;38123;RAVINA;8730;RAVINA;VIA BERLINA-RAVINA;"Ufficio postale RAVINA - VIA BERLINA, 5"
"POINT (664248.820981459 5103677.14932356)";"0461-275311";20;38122;TRENTO CENTRO;530;TRENTO;VIA CALEPINA;"Ufficio postale TRENTO CENTRO - PIAZZA A. VITTORIA, 20"
"POINT (663799.77063849 5104628.49409395)";"0461-823489";53;38122;TRENTO 4;3080;TRENTO;VIA G.A. SCOPOLI;"Ufficio postale TRENTO 4 - VIA SCOPOLI, 53"
"POINT (664384.538956578 5101785.79502102)";"0461-910304";31;38123;TRENTO 6;900;TRENTO;VIA A. DEGASPERI;"Ufficio postale TRENTO 6 - VIA DEGASPERI, 31"
"POINT (664686.346331808 5106072.65550986)";"0461-820050";2;38121;MARTIGNANO;6020;MARTIGNANO;VIA BELLAVISTA-MARTIGNANO;"Ufficio postale MARTIGNANO - VIA BELLAVISTA, 2"
"POINT (659309.339720274 5104073.00038316)";"0461-866133";16;38123;SOPRAMONTE;8055;SOPRAMONTE;VIA DI VEGIARA-SOPRAMONTE;"Ufficio postale SOPRAMONTE - VIA DI  VEGIARA, 16"
"POINT (663164.617947514 5108293.48795434)";"0461-960081";7;38121;GARDOLO;5500;GARDOLO;PIAZZA DELLA LIBERTA'-GARDOLO;"Ufficio postale GARDOLO - PIAZZA LIBERTA', 1"
"POINT (664767.504621977 5096930.35533432)";"0461-945361";4;38123;MATTARELLO;7730;MATTARELLO;VIA G. POLI;"Ufficio postale MATTARELLO - VIA G. POLI, 4"
